2025-04-13 12:13:50,922 - Training data: 17495 rows
2025-04-13 12:13:57,396 - Training PPO on EURUSD at 2025-04-13 12:13:57.386858+05:30
2025-04-13 12:36:31,860 - Rollout 215040: ep_rew_mean = 0.0034, actions = {0: 1922, 1: 103, 2: 23}, action_pct = {0: 93.84765625, 1: 5.029296875, 2: 1.123046875}
2025-04-13 12:36:38,230 - Rollout 217088: ep_rew_mean = -0.0081, actions = {0: 1912, 1: 115, 2: 21}, action_pct = {0: 93.359375, 1: 5.615234375, 2: 1.025390625}
2025-04-13 12:36:49,878 - Rollout 219136: ep_rew_mean = 0.0094, actions = {0: 1936, 1: 93, 2: 19}, action_pct = {0: 94.53125, 1: 4.541015625, 2: 0.927734375}
2025-04-13 12:37:08,485 - Rollout 221184: ep_rew_mean = 0.0036, actions = {0: 1954, 1: 84, 2: 10}, action_pct = {0: 95.41015625, 1: 4.1015625, 2: 0.48828125}
2025-04-13 12:37:16,809 - Rollout 223232: ep_rew_mean = -0.0001, actions = {0: 1984, 1: 56, 2: 8}, action_pct = {0: 96.875, 1: 2.734375, 2: 0.390625}
2025-04-13 12:37:23,192 - Rollout 225280: ep_rew_mean = 0.0066, actions = {0: 1966, 1: 69, 2: 13}, action_pct = {0: 95.99609375, 1: 3.369140625, 2: 0.634765625}
2025-04-13 12:37:28,607 - Rollout 227328: ep_rew_mean = 0.0016, actions = {0: 1973, 1: 67, 2: 8}, action_pct = {0: 96.337890625, 1: 3.271484375, 2: 0.390625}
2025-04-13 12:37:34,382 - Rollout 229376: ep_rew_mean = 0.0044, actions = {0: 1951, 1: 82, 2: 15}, action_pct = {0: 95.263671875, 1: 4.00390625, 2: 0.732421875}
2025-04-13 12:37:39,837 - Rollout 231424: ep_rew_mean = 0.0022, actions = {0: 1916, 1: 121, 2: 11}, action_pct = {0: 93.5546875, 1: 5.908203125, 2: 0.537109375}
2025-04-13 12:37:45,546 - Rollout 233472: ep_rew_mean = 0.0014, actions = {0: 1996, 1: 45, 2: 7}, action_pct = {0: 97.4609375, 1: 2.197265625, 2: 0.341796875}
