2025-04-12 08:45:37,239 - Rollout 342016: ep_rew_mean = 0.0500, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:45:42,687 - Rollout 344064: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:45:48,255 - Rollout 346112: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:45:53,801 - Rollout 348160: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:45:59,486 - Rollout 350208: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:46:05,213 - Rollout 352256: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:46:10,758 - Rollout 354304: ep_rew_mean = 0.0482, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:46:16,325 - Rollout 356352: ep_rew_mean = 0.0485, actions = {0: 1996, 1: 26, 2: 26}
2025-04-12 08:46:22,020 - Rollout 358400: ep_rew_mean = 0.0495, actions = {0: 2032, 1: 8, 2: 8}
2025-04-12 08:46:27,859 - Rollout 360448: ep_rew_mean = 0.0496, actions = {0: 2032, 1: 8, 2: 8}
2025-04-12 08:46:33,532 - Rollout 362496: ep_rew_mean = 0.0484, actions = {0: 2008, 1: 20, 2: 20}
2025-04-12 08:46:39,039 - Rollout 364544: ep_rew_mean = 0.0498, actions = {0: 2042, 1: 3, 2: 3}
2025-04-12 08:46:44,647 - Rollout 366592: ep_rew_mean = 0.0495, actions = {0: 2034, 1: 7, 2: 7}
2025-04-12 08:46:50,117 - Rollout 368640: ep_rew_mean = 0.0499, actions = {0: 2044, 1: 2, 2: 2}
2025-04-12 08:46:55,832 - Rollout 370688: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:47:01,383 - Rollout 372736: ep_rew_mean = 0.0498, actions = {0: 2044, 1: 2, 2: 2}
2025-04-12 08:47:07,183 - Rollout 374784: ep_rew_mean = 0.0496, actions = {0: 2044, 1: 2, 2: 2}
2025-04-12 08:47:12,771 - Rollout 376832: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:47:18,766 - Rollout 378880: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:47:25,149 - Rollout 380928: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:47:31,034 - Rollout 382976: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:47:36,930 - Rollout 385024: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:47:42,525 - Rollout 387072: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:47:48,224 - Rollout 389120: ep_rew_mean = 0.0494, actions = {0: 2044, 1: 2, 2: 2}
2025-04-12 08:47:53,876 - Rollout 391168: ep_rew_mean = 0.0495, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:47:59,709 - Rollout 393216: ep_rew_mean = 0.0496, actions = {0: 2034, 1: 7, 2: 7}
2025-04-12 08:48:05,911 - Rollout 395264: ep_rew_mean = 0.0498, actions = {0: 2040, 1: 3, 2: 5}
2025-04-12 08:48:11,692 - Rollout 397312: ep_rew_mean = 0.0499, actions = {0: 2044, 1: 2, 2: 2}
2025-04-12 08:48:17,324 - Rollout 399360: ep_rew_mean = 0.0499, actions = {0: 2044, 1: 2, 2: 2}
2025-04-12 08:48:23,326 - Rollout 401408: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:48:29,090 - Rollout 403456: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:48:34,706 - Rollout 405504: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:48:40,392 - Rollout 407552: ep_rew_mean = 0.0498, actions = {0: 2044, 1: 2, 2: 2}
